,,,,,,,,CoreA,,,CoreB,,,CoreC,,,CoreD,,
SOCVendor,SOCModel,ProductName,ReleaseTime,GPUBrand,GPUModel,GPUCore,GPUFreq,Model,Count,Freq,Model,Count,Freq,Model,Count,Freq,Model,Count,Freq
Qualcomm,SM7225,Snapdragon 750G,2020.4Q,Adreno,619,1,800,,,,,,,A77,2,2.2,A55,6,1.8
Qualcomm,SM7250-AA,Snapdragon 765,2020.1Q,Adreno,620,1,625,,,,A76,1,2.3,A76,1,2.2,A55,6,1.8
Qualcomm,SM7250-AB,Snapdragon 765G,2020.1Q,Adreno,620,1,625,,,,A76,1,2.4,A76,1,2.2,A55,6,1.8
Qualcomm,SM7250,Snapdragon 765G,,Adreno,620,1,625,,,,A76,1,2.4,A76,1,2.2,A55,6,1.8
Qualcomm,SDM765G 5G,Snapdragon 765G (7nm),,Adreno,620,1,625,,,,A76,1,2.4,A76,1,2.2,A55,6,1.8
Qualcomm,SM7250-AC,Snapdragon 768G,2020.2Q,Adreno,620,1,750,,,,A76,1,2.8,A76,1,2.4,A55,6,1.8
Qualcomm,SM7325,Snapdragon 778G,2021.2Q,Adreno,642L,1,550,,,,A78,1,2.4,A78,3,2.4,A55,4,1.8
Qualcomm,SM7325-AE,Snapdragon 778G+,2021.4Q,Adreno,642L,1,550,,,,A78,1,2.5,A78,3,2.4,A55,4,1.8
Qualcomm,SDM778G,Snapdragon 778G 5G (6nm),,Adreno,642L,1,550,,,,A78,1,2.4,A78,3,2.2,A55,4,1.9
Qualcomm,SM7350-AB,Snapdragon 780G,2021.1Q,Adreno,642,1,490,,,,A78,1,2.4,A78,3,2.2,A55,4,1.9
Qualcomm,SM7350-AF,Snapdragon 782G,2022.4Q,Adreno,642L,1,490,,,,A78,1,2.7,A78,3,2.4,A55,4,1.8
Qualcomm,SM7450-AB,Snapdragon 7 Gen 1,2022.2Q,Adreno,644,1,443,,,,A710,1,2.4,A710,3,2.36,A510,4,1.8
Qualcomm,SM7475-AB,Snapdragon 7 Gen 2,2023.1Q,Adreno,725,1,580,X2,1,2.91,,,,A710,3,2.49,A510,4,1.8
Qualcomm,APQ8074AA,Snapdragon 800,2013.2Q,Adreno,330,1,450,,,,,,,Krait 400,4,2.26,,,
Qualcomm,MSM8274AA,Snapdragon 800,2013.2Q,Adreno,330,1,450,,,,,,,Krait 400,4,2.26,,,
Qualcomm,MSM8674AA,Snapdragon 800,2013.2Q,Adreno,330,1,450,,,,,,,Krait 400,4,2.26,,,
Qualcomm,MSM8974AA,Snapdragon 800,2013.2Q,Adreno,330,1,450,,,,,,,Krait 400,4,2.26,,,
Qualcomm,MSM8974AA v3,Snapdragon 801,2014.3Q,Adreno,330,1,450,,,,,,,Krait 400,4,2.26,,,
Qualcomm,APQ8074AB v3,Snapdragon 801,2013.4Q,Adreno,330,1,578,,,,,,,Krait 400,4,2.36,,,
Qualcomm,MSM8274AB,Snapdragon 800,2013.4Q,Adreno,330,1,578,,,,,,,Krait 400,4,2.36,,,
Qualcomm,MSM8674AB v3,Snapdragon 801,2013.2Q,Adreno,330,1,578,,,,,,,Krait 400,4,2.36,,,
Qualcomm,MSM8974AB v3,Snapdragon 801,2013.4Q,Adreno,330,1,578,,,,,,,Krait 400,4,2.36,,,
Qualcomm,MSM8274AC v3,Snapdragon 801,2014.2Q,Adreno,330,1,578,,,,,,,Krait 400,4,2.45,,,
Qualcomm,MSM8974AC v3,Snapdragon 801,2014.1Q,Adreno,330,1,578,,,,,,,Krait 400,4,2.45,,,
Qualcomm,APQ8084,Snapdragon 805,2014.1Q,Adreno,420,1,600,,,,,,,Krait 450,4,2.7,,,
Qualcomm,MSM8992,Snapdragon 808,2014.3Q,Adreno,418,1,600,,,,,,,A57,2,1.8,A53,4,1.44
Qualcomm,MSM8994,Snapdragon 810,2014.3Q,Adreno,430,1,600,,,,,,,A57,4,2,A53,4,1.5
